PUMFID,LM_30,LM_35A,LM35BCDE,LM_35F,LM_35G,LM_40,MH_05,MH_15A,MH_15B,MH_15C,MH_15D,MH_15E,MH_15F,MH_15G,BH_20A,BH_20B,BH_20C,BH_20D,BH_20E,BH_20F,BH_20G,BH_20H,BH_20I,BH_20J,BH_20K,BH_20L,BH_20M,BH_20N,BH_35A,BH_35B,BH_35C,BH_35D,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,BH_110,BH_115,HHLDSIZC,AGEGRP,IMMIGRNC,SEX,PCHILD,MARSTATC,DWELCODC,PEDUC_LC,PTELEWSC,PEMPSTC,ANXDVGAD,ANXDVSEV,ANXDVGAC,MHDVMHI,PFSCDV,RURURB,PERS_WGT,VERDATE
6032,5,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,3,4,4,2,3,3,3,3,3,1,1,3,1,1,1,3,1,1,0,4,1,5,3,1,0,0,2,4,0,1,731.1888,05/06/2020
6033,6,2,2,2,1,3,3,4,4,3,2,1,4,4,1,2,2,1,1,1,1,1,1,1,1,2,1,2,4,4,4,4,4,3,3,3,1,1,1,3,3,1,1,2,4,1,1,1,1,1,2,9,4,15,4,1,2,0,2,7014.6348,05/06/2020
6034,6,2,2,2,1,4,3,2,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,3,4,3,4,4,3,3,3,3,3,3,3,3,1,2,1,7,1,2,0,3,2,2,9,4,4,1,2,2,0,2,5421.3356,05/06/2020
6035,5,2,2,2,1,4,2,2,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,2,2,1,4,1,1,4,3,3,3,1,3,3,1,3,2,2,1,3,1,1,1,3,1,6,1,1,3,1,2,3,0,2,6097.4668,05/06/2020
6036,4,2,2,2,1,3,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,4,2,2,2,3,3,3,2,1,1,1,3,1,2,1,3,1,1,0,4,1,2,3,1,0,0,2,3,0,1,2236.67,05/06/2020
6037,6,2,2,2,1,3,2,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,2,2,3,1,3,1,1,1,3,3,3,1,2,1,5,1,2,0,3,4,2,9,4,1,1,2,3,1,1,2255.2651,05/06/2020
6038,6,2,2,2,1,3,3,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,4,2,2,4,3,3,3,1,1,1,3,3,1,1,2,6,1,2,0,1,1,4,9,4,3,1,2,2,0,2,5198.4341,05/06/2020
6039,6,2,2,2,1,4,3,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,2,4,4,4,4,4,2,3,3,3,1,1,3,3,3,3,2,7,2,1,0,1,1,2,9,4,0,0,2,2,0,2,1132.0394,05/06/2020
6040,6,1,2,2,2,3,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,3,3,4,3,3,3,3,1,1,1,3,1,2,1,1,1,2,0,4,2,4,9,4,1,1,2,3,0,1,1546.9849,05/06/2020
6041,4,2,2,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,4,4,2,4,3,3,3,1,3,1,1,3,1,1,2,1,2,1,1,1,1,2,3,1,3,1,2,3,0,2,54269.1743,05/06/2020
6042,6,2,2,2,1,2,3,2,1,1,1,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,4,3,9,4,1,3,3,1,1,3,3,3,1,1,1,4,1,2,0,4,1,4,9,4,2,1,2,2,0,2,909.2836,05/06/2020
6043,5,2,2,2,1,4,3,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,3,4,3,4,4,3,3,3,3,3,3,3,3,4,5,2,4,1,1,0,1,1,6,3,1,2,1,2,2,0,2,801.4047,05/06/2020
6044,4,2,2,1,2,1,2,3,4,3,4,4,4,4,2,2,2,2,1,1,1,1,1,2,1,2,2,2,4,4,4,4,4,1,3,3,1,1,1,1,3,2,9,2,4,1,1,0,1,1,2,4,3,19,4,1,3,0,1,6816.1051,05/06/2020
6045,5,2,2,2,1,3,4,3,2,2,2,2,3,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,3,4,3,4,3,3,2,3,2,3,1,3,3,2,3,2,5,1,1,0,1,1,4,3,1,9,2,2,1,0,2,1756.3721,05/06/2020
6046,5,2,2,2,1,4,2,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,3,4,3,4,3,3,3,3,1,1,1,3,3,3,3,3,5,2,2,0,1,1,6,3,1,5,2,2,3,0,2,1253.359,05/06/2020
6047,6,2,2,2,1,4,5,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2,1,4,4,4,1,3,3,9,1,1,1,3,3,1,2,1,4,1,2,1,4,2,2,9,4,7,2,2,0,0,2,2623.0449,05/06/2020
6048,6,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,4,1,1,9,3,3,3,3,1,1,3,3,2,3,2,6,1,2,0,1,1,2,9,4,0,0,2,4,0,1,5605.0768,05/06/2020
6049,6,2,2,2,1,4,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,4,4,4,4,3,9,9,3,1,1,9,9,2,2,1,7,1,2,0,3,4,4,9,4,0,0,2,3,0,2,1155.9174,05/06/2020
6050,4,2,2,2,1,1,3,2,2,2,2,2,3,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,3,4,4,3,4,3,3,3,1,3,3,3,3,2,2,3,4,1,1,0,1,1,1,3,1,7,2,2,2,0,2,87381.2174,05/06/2020
6051,5,2,2,2,1,5,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,3,3,4,4,4,3,3,3,3,3,1,3,3,1,2,2,5,2,2,0,3,1,7,2,1,5,2,2,4,0,2,1419.2669,05/06/2020
6052,6,2,2,2,1,4,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,4,3,3,2,2,3,3,2,3,3,3,3,1,3,5,5,1,1,0,1,1,7,9,4,0,0,2,3,0,2,4668.9373,05/06/2020
6053,5,2,2,2,1,4,3,3,3,3,3,2,3,2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,1,4,3,3,4,3,3,3,1,1,1,3,3,1,1,2,2,1,2,0,1,1,7,2,1,12,3,1,2,0,2,3213.2282,05/06/2020
6054,6,2,2,2,1,2,3,3,3,3,3,3,3,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,4,2,2,4,1,3,3,1,1,1,1,1,3,4,4,4,1,2,0,1,1,6,9,4,12,3,1,2,0,2,17475.8956,05/06/2020
6055,3,2,2,2,1,3,3,3,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,4,3,4,4,3,3,3,3,3,3,3,3,2,3,1,4,2,1,0,3,1,4,3,1,5,2,2,2,1,2,792.6116,05/06/2020
