schoolsize,rural,score,poverty,income
1268,0,68,34,59845
766,0,23,82,25636
1067,0,74,30,65076
1732,1,72,39,57609
212,0,40,18,68781
563,0,41,57,48931
686,1,54,53,45198
680,1,48,54,51806
1539,0,73,39,58281
1074,1,61,43,49448
1629,1,89,2,73700
1419,0,88,11,70562
283,1,35,41,53160
1489,0,75,47,57660
895,0,32,81,34499
1072,1,38,79,37394
129,0,17,57,46051
660,0,28,41,57479
996,1,86,11,75980
2090,0,78,16,74813
2161,0,88,6,80280
1538,0,52,50,56864
1937,1,61,63,46346
888,1,61,50,53250
1014,0,84,2,81355
1766,0,56,52,46994
2095,0,67,43,59844
598,1,27,87,25736
1926,1,80,28,66016
889,0,62,18,73971
1338,0,31,84,32561
232,0,25,49,52184
424,1,50,23,66517
2249,0,61,60,44959
1056,1,55,12,82350
1869,0,95,5,81453
2056,1,49,75,34496
2386,0,68,28,60748
1713,1,90,34,58110
1251,1,77,19,69217
688,0,45,56,50551
572,0,27,66,43325
36,0,20,62,47824
1822,0,58,54,46557
624,0,46,38,62355
402,1,13,86,32357
42,0,51,21,66588
1215,1,62,55,49739
257,1,25,71,34366
2003,1,89,6,79509
