rank,title,gross,year,time,director,producers,studio
1,Gone with the Wind,$3.44 ,1939,221,Victor Fleming,David O. Selznick,"Loew's, Inc."
2,Avatar,$3.02 ,2009,161,James Cameron,James Cameron and Jon Landau,20th Century Fox
3,Star Wars,$2.83 ,1977,121,George Lucas,Gary Kurtz,20th Century Fox
4,Titanic,$2.52 ,1997,195,James Cameron,James Cameron and Jon Landau,20th Century Fox and Paramount Pictures
5,The Sound of Music,$2.37 ,1965,174,Robert Wise,Robert Wise,20th Century Fox
6,E.T. the Extra-Terrestrial,$2.31 ,1982,114,Steven Spielberg,Steven Spielberg and Kathleen Kennedy,Universal Pictures
7,The Ten Commandments,$2.19 ,1956,220,Cecil B. DeMille,Cecil B. DeMille  and Henry Wilcoxon,Paramount Pictures
8,Doctor Zhivago,$2.07 ,1965,197,David Lean,Carlo Ponti,Metro-Goldwyn-Mayer
9,Jaws,$2.03 ,1975,124,Steven Spielberg,Richard D. Zanuck and David Brown,Universal Pictures
10,Snow White and the Seven Dwarfs,$1.82 ,1937,83,David Hand,Walt Disney,Walt Disney Productions
